"id","name","adminCode","latitude","longitude","population","country"
1260290,Parli Vaijnāth,16,18.85057,76.53163,94863,IN
164947,As Salamīyah,10,35.01127,37.05324,94887,SY
1860098,Kanuma,38,36.55,139.73333,94903,JP
5811729,Spokane Valley,WA,47.67323,-117.23937,94919,US
6822146,Ōnojō,07,33.53567,130.47861,94957,JP
4945121,New Bedford,MA,41.63622,-70.93421,94958,US
1266928,Khargone,35,21.82292,75.61394,94985,IN
8505053,Vostochnoe Degunino,47,55.8801,37.55758,95000,RU
518879,Novogireyevo,48,55.75378,37.81885,95000,RU
513471,Ozerki,66,60.03947,30.31128,95000,RU
2326302,Olupona,42,7.6,4.18333,95002,NG
2346995,Biu,27,10.61285,12.19458,95005,NG
986083,Kutloanong,03,-27.83333,26.75,95008,ZA
2621942,Frederiksberg,17,55.67938,12.53463,95029,DK
250774,Aqaba,21,29.52667,35.00778,95048,JO
89570,Zaxo,08,37.14871,42.68591,95052,IQ
149129,Ushirombo,28,-3.49194,31.96389,95052,TZ
2757345,Delft,11,52.00667,4.35556,95060,NL
3109642,Santiago de Compostela,58,42.88052,-8.54569,95092,ES
4394870,Lee's Summit,MO,38.91084,-94.38217,95094,US
3460132,Japeri,21,-22.64306,-43.65333,95101,BR
4990510,Dearborn,MI,42.32226,-83.17631,95171,US
5794245,Federal Way,WA,47.32232,-122.31262,95171,US
3195506,Maribor,J2,46.55472,15.64667,95171,SI
2644737,Royal Leamington Spa,ENG,52.3,-1.53333,95172,GB
3074967,Hradec Králové,82,50.20923,15.83277,95195,CZ
1811720,Enshi,12,30.3,109.48333,95227,CN
1789998,Xiaoshan,02,30.16746,120.25883,95234,CN
2038274,Boli,08,45.75279,130.57211,95260,CN
2123628,Magadan,44,59.5638,150.80347,95282,RU
4931429,Brockton,MA,42.08343,-71.01838,95314,US
1181439,Charsadda,03,34.14822,71.7406,95319,PK
3746184,La Habana Vieja,02,23.13028,-82.35306,95383,CU
7647007,San Carlos de Bariloche,16,-41.14557,-71.30822,95394,AR
1795632,Shenjiamen,02,29.95763,122.29802,95433,CN
585514,Mingelchaur,33,40.76395,47.05953,95453,AZ
217745,Bumba,25,2.18771,22.46827,95520,CD
1811929,Ducheng,30,23.24212,111.5284,95525,CN
1786760,Yicheng,04,31.36059,119.82016,95530,CN
1270090,Hindaun,24,26.73411,77.03519,95593,IN
361291,Hurghada,02,27.25738,33.81291,95622,EG
1805408,Jinsha,04,32.08982,121.07355,95647,CN
1260546,Pandharpur,16,17.67924,75.33098,95665,IN
2834281,Kreisfreie Stadt Schwerin,12,53.63333,11.41667,95668,DE
6356734,Cáceres,57,39.42823,-6.43782,95668,ES
6357346,Santiago de Compostela,58,42.88024,-8.54736,95671,ES
436459,Akçakale İlçesi,63,36.76139,38.96944,95709,TR
2982681,Roubaix,32,50.69421,3.17456,95721,FR
1705536,Los Baños,40,14.17025,121.24181,95750,PH
2866064,Landkreis Neuburg-Schrobenhausen,02,48.66639,11.20056,95759,DE
3097391,Jastrzębie Zdrój,83,49.95542,18.57479,95813,PL
1802177,Lubu,30,23.17233,112.28298,95820,CN
172503,As Safīrah,09,36.07696,37.37251,95832,SY
1257794,Sāhibganj,38,25.24425,87.63481,95890,IN
1625929,Sungai Penuh,05,-2.0561,101.3913,95913,ID
1278148,Aurangābād,34,24.75204,84.3742,95929,IN
6541838,Cesena,05,44.15617,12.26404,95990,IT
2300182,Japekrom,03,7.5758,-2.78516,96000,GH
502965,Ramenskoye,47,55.56694,38.23028,96000,RU
2318044,Yola,35,9.20839,12.48146,96006,NG
1713014,General Trias,40,14.38694,120.88167,96022,PH
3077916,České Budějovice,79,48.97447,14.47434,96053,CZ
3464073,Erechim,23,-27.63461,-52.2754,96087,BR
5512862,Sparks,NV,39.53491,-119.75269,96094,US
2232444,Dschang,08,5.44397,10.05332,96112,CM
1275019,Buxar,34,25.57548,83.98043,96120,IN
1136469,Khōst,37,33.33951,69.92041,96123,AF
2980916,Saint-Denis,11,48.93333,2.36667,96128,FR
3437842,Limpio,06,-25.16611,-57.48562,96143,PY
128447,Kāshmar,42,35.23831,58.46558,96151,IR
2913366,Gütersloh,07,51.90693,8.37853,96180,DE
3121456,Girona,56,41.98311,2.82493,96188,ES
2129101,Muroran,12,42.31722,140.98806,96197,JP
4779999,Portsmouth,VA,36.83543,-76.29827,96201,US
1785036,Zhangye,15,38.93417,100.45167,96228,CN
2299522,Koforidua,05,6.09408,-0.25913,96266,GH
2637546,Solihull,ENG,52.41426,-1.78094,96267,GB
318675,Ceyhan,81,37.02472,35.8175,96303,TR
273140,Jounieh,05,33.98083,35.61778,96315,LB
2511388,San Fernando,51,36.4759,-6.19817,96366,ES
727079,Sliven,56,42.68583,26.32917,96368,BG
1274868,Chālisgaon,16,20.45781,75.01596,96381,IN
1269557,Jahānābād,34,25.21368,84.9871,96387,IN
5397603,South Gate,CA,33.95474,-118.21202,96401,US
3619194,Estelí,05,13.09185,-86.35384,96422,NI
3465342,Corumbá,11,-19.00917,-57.65333,96520,BR
1560349,Yên Bái,70,21.72288,104.9113,96540,VN
3097333,Jaworzno,83,50.20528,19.27498,96541,PL
3471830,Araguari,15,-18.64722,-48.18722,96565,BR
5713376,Beaverton,OR,45.48706,-122.80371,96577,US
877747,Mtwara,11,-10.26667,40.18333,96602,TZ
1856443,Munakata-shi,07,33.8,130.55,96611,JP
3058779,Okres Martin,08,49.06667,18.93333,96629,SK
750516,Bolu,14,40.73583,31.60611,96629,TR
7701354,Azimpur,81,23.7298,90.3854,96641,BD
2834282,Schwerin,12,53.62937,11.41316,96641,DE
4540737,Lawton,OK,34.60869,-98.39033,96655,US
1853209,Sakado,34,35.95694,139.38889,96656,JP
3117814,Lugo,58,43.00992,-7.55602,96678,ES
2420883,Fria,B,10.41667,-13.58333,96700,GN
5425043,Highlands Ranch,CO,39.55388,-104.96943,96713,US
1261631,Nawāda,34,24.8867,85.54364,96730,IN
217695,Bunia,17,1.55941,30.25224,96764,CD
1341204,Nowshera Cantonment,03,33.99829,71.99834,96766,PK
5405878,Ventura,CA,34.27834,-119.29317,96769,US
6356946,San Fernando,51,36.44207,-6.2061,96772,ES
1912209,Wabu,13,37.58972,127.22028,96775,KR
7116866,Villa Mercedes,19,-33.67571,-65.45783,96781,AR
66093,Yasuj,05,30.66824,51.58796,96786,IR
8986341,Okres Bratislava IV,02,48.22787,16.99722,96791,SK
5119256,Town of Greece,NY,43.24837,-77.69875,96796,US
5405228,Vacaville,CA,38.35658,-121.98774,96803,US
1262216,Nāgaur,24,27.20201,73.73394,96847,IN
1312609,Magway,15,20.14956,94.93246,96954,MM
1811542,Fangshan,22,39.68699,115.99658,97026,CN
3165771,Terni,18,42.56335,12.64329,97050,IT
7649053,Tano South,12,7.08333,-2.03333,97110,GH
5373763,Mission Viejo,CA,33.60002,-117.672,97156,US
3598529,Chinautla,07,14.70833,-90.49944,97172,GT
665010,Târgu Jiu,19,45.05,23.28333,97179,RO
1860635,Kameoka,22,35.0,135.58333,97181,JP
1261848,Narasaraopet,02,16.23488,80.04927,97194,IN
6534067,Girona,56,41.98246,2.83081,97198,ES
462755,Zhukovskiy,47,55.59528,38.12028,97200,RU
1254780,Tellicherry,13,11.74811,75.4929,97201,IN
1171965,Lodhran,04,29.5339,71.63244,97249,PK
1277936,Bagalkot,19,16.18673,75.69614,97269,IN
1614295,Phatthaya,46,12.93333,100.88333,97296,TH
1861450,Ise,23,34.48333,136.7,97314,JP
2111855,Mobara,04,35.42583,140.29608,97315,JP
3868192,Villa Alemana,01,-33.04222,-71.37333,97320,CL
2756987,Deventer,15,52.255,6.16389,97331,NL
1517945,Turkestan,10,43.29733,68.25175,97360,KZ
1164216,Swābi,03,34.12018,72.46982,97363,PK
2333604,Kuje,11,8.87952,7.22756,97367,NG
1278931,Amalner,16,21.03983,75.05887,97369,IN
1861464,Isahaya,27,32.84111,130.04306,97371,JP
1253166,Villupuram,25,11.93975,79.49244,97380,IN
1298987,Pyinmana,18,19.7381,96.20742,97409,MM
980921,Mabopane,06,-25.49768,28.10065,97417,ZA
290332,Al Muharraq,15,26.25722,50.61194,97458,BH
2523083,Siracusa,15,37.07542,15.28664,97472,IT
6176823,Waterloo,08,43.4668,-80.51639,97475,CA
1624725,Tarakan,42,3.31332,117.59152,97478,ID
1788508,Xinyu,03,27.80429,114.93335,97480,CN
744562,Karabük,89,41.20488,32.62768,97481,TR
229268,Mbarara,W,-0.60467,30.64851,97500,UG
3723593,Jérémie,14,18.65,-74.11667,97503,HT
3471798,Arapongas,18,-23.41944,-51.42444,97512,BR
3446038,Trindade,29,-16.64944,-49.48889,97521,BR
7648964,Birim North,05,6.33856,-0.99564,97534,GH
2639272,Rochdale,ENG,53.61766,-2.1552,97550,GB
1270077,Hinganghāt,16,20.54875,78.83978,97568,IN
1808212,Hechuan,33,29.99228,106.26461,97575,CN
2473247,Ariana,38,36.86012,10.19337,97687,TN
2655533,Blaby,ENG,52.57879,-1.19927,97703,GB
1839726,Asan,17,36.78361,127.00417,97749,KR
3165072,Udine,06,46.0693,13.23715,97761,IT
3071961,Liberec,83,50.76711,15.05619,97770,CZ
2043835,Hyesan-dong,13,41.39756,128.17873,97794,KP
3455729,Ourinhos,27,-22.97889,-49.87056,97799,BR
3445859,Ubá,15,-21.12,-42.94278,97828,BR
463343,Zheleznogorsk,41,52.331,35.3711,97900,RU
2895669,Iserlohn,07,51.37547,7.70281,97910,DE
2177091,Ballarat,07,-37.56622,143.84957,97937,AU
1256671,Shāmli,36,29.4497,77.30959,97966,IN
170905,Dar‘ā,06,32.61889,36.10213,97969,SY
626081,Lida,03,53.88333,25.29972,98036,BY
1262634,Mughal Sarāi,36,25.28307,83.11968,98043,IN
134721,Fasā,07,28.9383,53.6482,98061,IR
1645154,Dukuhturi,07,-6.9,109.08333,98074,ID
579460,Balashov,67,51.5502,43.1667,98107,RU
4670300,Allen,TX,33.10317,-96.67055,98143,US
6542153,Arezzo,16,43.47235,11.86904,98144,IT
1803616,Xishan,11,27.66667,113.5,98162,CN
1292037,Thayetmyo,15,19.32076,95.18272,98185,MM
2038080,Chengzihe,08,45.33333,131.06667,98188,CN
7647182,Wa West,11,9.96559,-2.63098,98193,GH
2548526,Guelmim,10,28.98696,-10.05738,98229,MA
1253993,Ooty,25,11.4134,76.69521,98238,IN
1812057,Xinyi,30,22.37303,110.94746,98259,CN
108927,Al Qaţīf,06,26.56542,50.0089,98259,SA
6540119,Udine,06,46.06102,13.23683,98287,IT
4992982,Flint,MI,43.01253,-83.68746,98310,US
4705692,League City,TX,29.50745,-95.09493,98312,US
4094455,Tuscaloosa,AL,33.20984,-87.56917,98332,US
3183072,Andria,13,41.23117,16.29797,98342,IT
144410,Akbarābād,07,29.2464,52.7793,98342,IR
7284831,Budapest IV. kerület,05,47.56182,19.08909,98374,HU
3450594,Salto,27,-23.20083,-47.28694,98387,BR
4018400,Apatzingán,16,19.08864,-102.35704,98422,MX
1788638,Xinshi,12,31.04704,113.14098,98422,CN
274874,Habboûch,07,33.40729,35.48169,98433,LB
1492663,Serov,71,59.60334,60.5787,98438,RU
6359189,Lugo,58,43.00263,-7.49944,98457,ES
3109453,Barakaldo,59,43.29639,-2.98813,98460,ES
5339066,Compton,CA,33.89585,-118.22007,98462,US
5106834,Albany,NY,42.65258,-73.75623,98469,US
3374036,Bridgetown,08,13.10732,-59.62021,98511,BB
3565432,Cárdenas,03,23.03661,-81.20596,98515,CU
2653882,Cannock Chase,ENG,52.73333,-2.0,98534,GB
1275103,Būndi,24,25.43855,75.63735,98569,IN
1797181,Renqiu,10,38.69889,116.09361,98569,CN
3085450,Słupsk,82,54.46405,17.02872,98608,PL
4173838,Spring Hill,FL,28.47688,-82.52546,98621,US
471430,Votkinsk,80,57.04865,53.98717,98633,RU
1276325,Bhadrakh,21,21.05447,86.5156,98648,IN
1724489,Bocaue,03,14.79833,120.92611,98649,PH
1252416,Thimphu,20,27.46609,89.64191,98676,BT
2177089,Ballarat,07,-37.51884,143.77284,98684,AU
4670249,Alief,TX,29.71106,-95.59633,98725,US
2894003,Kaiserslautern,08,49.443,7.77161,98732,DE
1647866,Bukittinggi,24,-0.30907,100.37055,98746,ID
3454847,Passos,15,-20.71889,-46.60972,98752,BR
2334008,Kontagora,31,10.40319,5.4708,98754,NG
1854000,Ōnojō Shi,07,33.51302,130.47925,98771,JP
